conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_85,skill/competence,cross-sector,Junior Django,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_86,skill/competence,cross-sector,TypeScript Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_87,skill/competence,cross-sector,Deep Learning Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_88,skill/competence,cross-sector,Knowledge of jQuery,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_89,skill/competence,cross-sector,Svelte Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_90,skill/competence,cross-sector,Time Management,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_91,skill/competence,cross-sector,React Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_92,skill/competence,cross-sector,SQLite Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_93,skill/competence,cross-sector,Grafana,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_94,skill/competence,cross-sector,Knowledge of Haskell,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_95,skill/competence,cross-sector,Knowledge of Flask,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_96,skill/competence,cross-sector,Ruby on Rails Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_97,skill/competence,cross-sector,Advanced Next.js,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_98,skill/competence,cross-sector,Entity Framework Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_99,skill/competence,cross-sector,Basic Scala,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_100,skill/competence,cross-sector,Xamarin Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_101,skill/competence,cross-sector,Basic Hadoop,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_102,skill/competence,cross-sector,SQLite Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_103,skill/competence,cross-sector,Lua Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_104,skill/competence,cross-sector,Expert in NumPy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_105,skill/competence,cross-sector,Ionic Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_106,skill/competence,cross-sector,Junior PyTorch,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_107,skill/competence,cross-sector,Terraform,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_108,skill/competence,cross-sector,Neural Networks Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_109,skill/competence,cross-sector,Familiar with Bash,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_110,skill/competence,cross-sector,Gatsby,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_111,skill/competence,cross-sector,PowerShell Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_112,skill/competence,cross-sector,Kotlin Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_113,skill/competence,cross-sector,Knowledge of LESS,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_114,skill/competence,cross-sector,Junior NumPy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_115,skill/competence,cross-sector,SQLite,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_116,skill/competence,cross-sector,Swift Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_117,skill/competence,cross-sector,Basic NestJS,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_118,skill/competence,cross-sector,Advanced Spacy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_119,skill/competence,cross-sector,CodeIgniter Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_120,skill/competence,cross-sector,Junior JavaScript,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_121,skill/competence,cross-sector,Expert in Svelte,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_122,skill/competence,cross-sector,Expert in Gatsby,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_123,skill/competence,cross-sector,Knowledge of Symfony,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_124,skill/competence,cross-sector,Pandas Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_125,skill/competence,cross-sector,Junior Chakra UI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_126,skill/competence,cross-sector,Data Science Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_127,skill/competence,cross-sector,Senior Express,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_128,skill/competence,cross-sector,Knowledge of Ruby,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_129,skill/competence,cross-sector,Familiar with Power BI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_130,skill/competence,cross-sector,Expert in PyTorch,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_131,skill/competence,cross-sector,Knowledge of HuggingFace,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_132,skill/competence,cross-sector,Basic Entity Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_133,skill/competence,cross-sector,Java,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_134,skill/competence,cross-sector,Advanced NLTK,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_135,skill/competence,cross-sector,Junior Laravel,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_136,skill/competence,cross-sector,Express Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_137,skill/competence,cross-sector,Tailwind CSS Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_138,skill/competence,cross-sector,Conflict Resolution,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_139,skill/competence,cross-sector,Advanced Entity Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_140,skill/competence,cross-sector,PHP Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_141,skill/competence,cross-sector,Junior FastAPI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_142,skill/competence,cross-sector,Cordova Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_143,skill/competence,cross-sector,Airflow Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_144,skill/competence,cross-sector,Expert in ASP.NET,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_145,skill/competence,cross-sector,Basic Airflow,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_146,skill/competence,cross-sector,Familiar with Ionic,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_147,skill/competence,cross-sector,Xamarin Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_148,skill/competence,cross-sector,Sass Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_149,skill/competence,cross-sector,Scala Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_150,skill/competence,cross-sector,Ruby on Rails Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_151,skill/competence,cross-sector,Node.js Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_152,skill/competence,cross-sector,TensorFlow Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_153,skill/competence,cross-sector,Senior Plotly,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_154,skill/competence,cross-sector,Assembly Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_155,skill/competence,cross-sector,Go,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_156,skill/competence,cross-sector,FastAPI Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_157,skill/competence,cross-sector,NumPy Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_158,skill/competence,cross-sector,Git,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_159,skill/competence,cross-sector,Intermediate Tauri,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_160,skill/competence,cross-sector,PowerShell,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_161,skill/competence,cross-sector,Power BI Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_162,skill/competence,cross-sector,Keras,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_163,skill/competence,cross-sector,Express Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_164,skill/competence,cross-sector,React Native Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_165,skill/competence,cross-sector,jQuery Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_166,skill/competence,cross-sector,Basic Next.js,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_167,skill/competence,cross-sector,Scikit-Learn Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_168,skill/competence,cross-sector,Nuxt.js Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_169,skill/competence,cross-sector,Senior Spring Boot,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_170,skill/competence,cross-sector,Senior Electron,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_171,skill/competence,cross-sector,Expert in Tableau,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_172,skill/competence,cross-sector,Svelte Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_173,skill/competence,cross-sector,R Framework,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_174,skill/competence,cross-sector,Perl Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_175,skill/competence,cross-sector,Junior Spacy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_176,skill/competence,cross-sector,MySQL Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_177,skill/competence,cross-sector,React Native Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_178,skill/competence,cross-sector,Spacy Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_179,skill/competence,cross-sector,Intermediate Express,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_180,skill/competence,cross-sector,Junior Symfony,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_181,skill/competence,cross-sector,Power BI Development,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_182,skill/competence,cross-sector,NoSQL Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_183,skill/competence,cross-sector,Familiar with SQL Server,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_184,skill/competence,cross-sector,Advanced JavaScript,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_185,skill/competence,cross-sector,JavaScript Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_186,skill/competence,cross-sector,Django,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_187,skill/competence,cross-sector,Tauri Design,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_188,skill/competence,cross-sector,C Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_189,skill/competence,cross-sector,Natural Language Processing Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_190,skill/competence,cross-sector,NLTK Engineering,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_191,skill/competence,cross-sector,Advanced Sass,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_192,skill/competence,cross-sector,Basic Neural Networks,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_193,skill/competence,cross-sector,NestJS Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_194,skill/competence,cross-sector,Power BI,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_195,skill/competence,cross-sector,MySQL,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_196,skill/competence,cross-sector,SQL Server Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_197,skill/competence,cross-sector,Nuxt.js Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_198,skill/competence,cross-sector,Artificial Intelligence Programming,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_199,skill/competence,cross-sector,Senior React Native,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_200,skill/competence,cross-sector,Waterfall,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_201,skill/competence,cross-sector,Rust Optimization,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_202,skill/competence,cross-sector,Computer Vision Architecture,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_203,skill/competence,cross-sector,Flutter,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_204,skill/competence,cross-sector,Junior CodeIgniter,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_205,skill/competence,cross-sector,Familiar with Matplotlib,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_206,skill/competence,cross-sector,C++,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_207,skill/competence,cross-sector,Intermediate Spacy,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_208,skill/competence,cross-sector,Basic Ionic,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_209,skill/competence,cross-sector,Senior NLP,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_210,skill/competence,cross-sector,Data Science,,Massive generated dataset
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/gen_211,skill/competence,cross-sector,Basic Java,,Massive generated dataset
